StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Participant Info,Confidence,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Satisfaction,Q23,Q24,Q25,Relevance,Q27,Q29,Q30,Q31,Q32,Q33,Q34,Q35
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter your Study ID,"When I first looked at this material, I had the impression that it would be easy for me.",This material was more difficult to understand than I would like for it to be.,"The introduction made clear what I was expected to learn, and I felt confident that I knew what I was supposed to learn from this lesson.",Many of the pages had so much information that it was hard to pick out and remember the important points.,"As I worked on the material presented, I was confident that I could learn the content.",The questions on this material were too difficult,"Having spent time on this lesson, my confidence grew that I would succeed in a test on the material.",I could not really understand quite a bit of the material in this lesson.,The good organization of the content helped me be confident that I would learn this material.,There was something interesting at the beginning of each chapter that got my attention.,These materials are eye-catching.,The quality of the writing helped to hold my attention.,This material is so abstract that it was hard to keep my attention on it.,The pages of the material look dry and unappealing.,The way the information is arranged on the pages helped keep my attention.,This material has things that stimulated my curiosity.,The amount of repetition in this material caused me to get bored sometimes.,I learned some things that were surprising or unexpected.,"The variety of reading passages, subheadings, illustrations, etc., helped keep my attention.",The style of writing is boring.,There are so many words on each page that it is irritating,Completing the questions on this material gave me a satisfying feeling of accomplishment.,I enjoyed the material so much that I would like to know more about this topic.,It felt good to successfully complete the material.,The well-constructed material made the learning process enjoyable.,The connection between the material's content and my prior knowledge is clear.,The material included narratives and visuals that illustrated its significance.,Completing this lesson successfully was important to me.,The content of this material is relevant to my interests.,The material provided practical examples of the knowledge application.,The content and style of writing in this lesson convey the impression that its content is worth knowing.,The material presented was mostly familiar to me.,"I could relate the content of this lesson to things I have seen, done, or thought about in my own life.",The content of this lesson will be useful to me.
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID32""}","{""ImportId"":""QID31""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}"
2024-04-15 03:42:23,2024-04-15 03:45:31,IP Address,91.230.41.206,100,187,True,2024-04-15 03:45:32,R_4r7EAwhyOnkHp2p,,,,,24.4542,54.406,anonymous,EN,1019,Neither true nor false,Probably false,Definitely true,Definitely false,Probably true,Neither true nor false,Definitely true,Definitely false,Probably true,Neither true nor false,Neither true nor false,Neither true nor false,Probably false,Neither true nor false,Probably false,Neither true nor false,Definitely false,Definitely false,Probably true,Neither true nor false,Probably false,Neither true nor false,Neither true nor false,Probably true,Probably true,Neither true nor false,Probably true,Probably true,Probably false,Definitely false,Probably true,Neither true nor false,Neither true nor false,Probably true
2024-04-15 04:37:33,2024-04-15 04:41:23,IP Address,91.230.41.207,100,229,True,2024-04-15 04:41:23,R_4v30XQksZ50BdEp,,,,,24.4542,54.406,anonymous,EN,1016,Definitely false,Probably true,Neither true nor false,Definitely true,Definitely true,Probably false,Probably true,Neither true nor false,Probably true,Neither true nor false,Probably true,Definitely true,Definitely true,Neither true nor false,Probably true,Probably false,Definitely false,Probably true,Probably true,Probably true,Probably true,Definitely true,Probably false,Probably true,Probably false,Probably true,Definitely true,Neither true nor false,Definitely false,Definitely true,Probably false,Definitely false,Definitely false,Neither true nor false
2024-04-16 06:35:03,2024-04-16 06:39:00,IP Address,91.230.41.206,100,237,True,2024-04-16 06:39:01,R_4nGg8PzBYoUEDjZ,,,,,24.4542,54.406,anonymous,EN,1000,Definitely false,Definitely true,Definitely true,Definitely true,Neither true nor false,Definitely true,Probably true,Definitely true,Probably true,Definitely false,Definitely true,Neither true nor false,Probably true,Probably false,Definitely true,Probably false,Definitely false,Probably false,Definitely true,Probably true,Definitely false,Definitely false,Definitely false,Neither true nor false,Neither true nor false,Probably true,Definitely true,Neither true nor false,Definitely false,Probably true,Probably true,Definitely false,Probably true,Probably false
2024-04-16 06:48:48,2024-04-16 06:54:42,IP Address,91.230.41.206,100,354,True,2024-04-16 06:54:43,R_4ESYg7B5KQVdbxM,,,,,24.4542,54.406,anonymous,EN,1014,Definitely false,Neither true nor false,Definitely true,Probably true,Probably true,Probably true,Probably true,Probably false,Neither true nor false,Probably true,Probably true,Probably false,Definitely false,Neither true nor false,Probably true,Neither true nor false,Probably false,Probably false,Probably true,Neither true nor false,Probably false,Neither true nor false,Probably false,Neither true nor false,Probably true,Probably true,Definitely true,Neither true nor false,Definitely false,Probably false,Probably true,Probably true,Probably true,Neither true nor false
2024-04-16 10:12:19,2024-04-16 10:27:04,IP Address,91.230.41.207,100,885,True,2024-04-16 10:27:05,R_4ItGFMIFWZQNG8E,,,,,24.4542,54.406,anonymous,EN,1007,Definitely true,Probably true,Probably true,Probably true,Definitely true,Probably true,Definitely true,Definitely false,Definitely true,Definitely true,Definitely true,Probably true,Probably true,Probably true,Probably false,Neither true nor false,Probably false,Probably true,Neither true nor false,Definitely true,Definitely true,Definitely false,Probably false,Probably true,Probably false,Probably true,Neither true nor false,Probably false,Probably false,Probably true,Probably true,Probably true,Definitely false,Probably true
2024-04-17 00:46:34,2024-04-17 00:49:21,IP Address,91.230.41.207,100,167,True,2024-04-17 00:49:22,R_42Sl9NfReEZ2rqm,,,,,24.4542,54.406,anonymous,EN,1005,Probably false,Probably true,Definitely true,Neither true nor false,Probably true,Definitely false,Neither true nor false,Probably false,Probably true,Probably true,Definitely true,Definitely true,Definitely false,Probably false,Definitely true,Definitely true,Definitely false,Probably true,Probably true,Probably false,Probably false,Probably true,Probably true,Probably true,Definitely true,Neither true nor false,Neither true nor false,Probably true,Definitely true,Probably false,Neither true nor false,Probably false,Definitely true,Definitely true
2024-04-17 01:02:12,2024-04-17 01:04:41,IP Address,91.230.41.206,100,148,True,2024-04-17 01:04:42,R_4bZrF9p4ptVDYdB,,,,,24.4542,54.406,anonymous,EN,1001,Definitely false,Definitely true,Probably true,Definitely true,Definitely false,Definitely true,Definitely false,Probably true,Probably false,Definitely false,Definitely false,Definitely false,Probably true,Probably true,Definitely false,Definitely false,Neither true nor false,Probably true,Probably false,Probably true,Probably true,Neither true nor false,Probably false,Probably false,Probably false,Probably false,Probably false,Neither true nor false,Neither true nor false,Probably true,Neither true nor false,Probably false,Probably false,Probably false
2024-04-17 03:40:05,2024-04-17 03:44:16,IP Address,91.230.41.206,100,250,True,2024-04-17 03:44:17,R_4JN8JT3NoPo49Vf,,,,,24.4542,54.406,anonymous,EN,1018,Definitely true,Neither true nor false,Definitely true,Definitely false,Definitely true,Definitely false,Probably true,Definitely false,Probably true,Neither true nor false,Neither true nor false,Probably false,Definitely false,Neither true nor false,Probably false,Definitely true,Definitely false,Neither true nor false,Definitely false,Neither true nor false,Probably false,Probably true,Neither true nor false,Definitely true,Probably false,Definitely true,Probably true,Definitely true,Definitely true,Probably true,Probably true,Definitely true,Definitely true,Neither true nor false
