StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Participant Info,Q01,Q01a,Q02,Q03,Q03a,Q04,Q04a,Q05,Q05a,Q06,Q06a,Q07,Q07a,Q08,Q08a,Q09,Q09a,Q10,Q10a,Q11,Q11a,Q12,Q12a,Q13,Q14,Q15,Q16
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter your Study ID,Interest: Is the app interesting to use? Does it use any strategies to increase engagement by  presenting its content in an interesting way?,Additional comments,"Interactivity: Does it allow user input, provide feedback, contain prompts (reminders, sharing  options, notifications, etc.)? Note: these functions need to be customisable and not  overwhelming in order to be perfect.","Target group: Is the app content (visual information, language, design) appropriate?",Additional comments,Performance: How accurately/fast do the app features (functions) and components  (buttons/menus) work?,Additional comments,Ease of use: How easy is it to learn how to use the app; how clear are the menu labels/icons and  instructions?,Additional comments,Gestural design: Are interactions (taps/swipes/pinches/scrolls) consistent and intuitive across  all components/screens?,Additional comments,Layout: Is arrangement and size of buttons/icons/menus/content on the screen appropriate or  zoomable if needed?,Additional comments,Graphics: How high is the quality/resolution of graphics used for buttons/icons/menus/content?,Additional comments,Visual appeal: How good does the app look?,Additional comments,"Quality of information: Is the app content correct, well written, and relevant to the goal/topic of the app?",Additional comments,Quantity of information: Is the extent of coverage within the scope of the app; and comprehensive but concise?,Additional comments,"Visual information: Is the visual explanation of concepts – through/graphs/images/models, etc.  – clear, logical, and correct?",Additional comments,Would you recommend this app to people who might benefit from it?,How many times do you think you would use this app in the next 12 months if it was relevant to you?,Would you pay for this app?,What is your overall star rating of the app?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41_TEXT""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43_TEXT""}","{""ImportId"":""QID44""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""QID47""}","{""ImportId"":""QID49_TEXT""}","{""ImportId"":""QID48""}","{""ImportId"":""QID50_TEXT""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52_TEXT""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54_TEXT""}","{""ImportId"":""QID55""}","{""ImportId"":""QID56_TEXT""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58_TEXT""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60_TEXT""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62""}","{""ImportId"":""QID63""}","{""ImportId"":""QID64""}"
2024-04-16 06:15:47,2024-04-16 06:19:21,IP Address,91.230.41.206,100,213,True,2024-04-16 06:19:22,R_4F3ZsOrasnIfWgI,,,,,24.4542,54.406,anonymous,EN,1112,"Very interesting, would engage user in repeat use",,Very high level of responsiveness through interactive features/feedback/user input options,"Perfectly targeted, no issues found",,"Mostly functional with minor/negligible problems ",,"Easy to learn how to use the app (or has clear instructions) ",,"Mostly consistent/intuitive with negligible problems ",,"Professional, simple, clear, orderly, logically organized, device display optimized. Every design component has a purpose",,"High quality/resolution graphics and visual design – mostly proportionate, stylistically consistent  ",,"As above + very attractive, memorable, stands out; use of color enhances app features/menus",,"Highly relevant, appropriate, coherent, and correct",,"Offers a broad range of information, has some gaps or unnecessary detail; or has no links to more information and resources ",,Perfectly clear/logical/correct,,Definitely I would recommend this app to everyone,"10-50 ",Yes,★★★★★ One of the best apps I've used
2024-04-16 07:48:19,2024-04-16 07:57:49,IP Address,91.230.41.207,100,570,True,2024-04-16 07:57:50,R_4Lc1dSZbxJpnvog,,,,,24.4542,54.406,anonymous,EN,1110,Moderately interesting; would engage user for some time (5-10 minutes total),,Offers a variety of interactive features/feedback/user input options,"Well-targeted, with negligible issues ",,"Mostly functional with minor/negligible problems ",,"Useable after some time/effort  ","It required some learning curve to get used to gestures. After repeated use, I would be able to use the hardware with a better ease.","Mostly consistent/intuitive with negligible problems ","As mentioned above, it gives some glitches (unintended inputs), but the overall experience was consistent.","Mostly clear, able to select/locate/see/read items ",,"Low quality/low-resolution graphics; low-quality visual design – disproportionate, stylistically inconsistent ",I had a hard time reading letters from the visuals—especially the labels.,"High level of visual appeal – seamless graphics – consistent and professionally designed ",,"Relevant/appropriate/coherent/correct ",,"Offers a broad range of information, has some gaps or unnecessary detail; or has no links to more information and resources ",,"Mostly clear/logical/correct with negligible issues ",,"Maybe There are several people whom I would recommend it to ","3-10 ",Maybe,"★★★ Average "
2024-04-16 10:27:12,2024-04-16 10:31:07,IP Address,91.230.41.207,100,234,True,2024-04-16 10:31:07,R_47z6KoQOznsnGRr,,,,,24.4542,54.406,anonymous,EN,1107,"Very interesting, would engage user in repeat use",,Very high level of responsiveness through interactive features/feedback/user input options,"Perfectly targeted, no issues found",,Perfect/timely response; no technical bugs found/contains a ‘loading time left’ indicator,,"Easy to learn how to use the app (or has clear instructions) ",,"Mostly consistent/intuitive with negligible problems ",,"Mostly clear, able to select/locate/see/read items ",,"Low quality/low-resolution graphics; low-quality visual design – disproportionate, stylistically inconsistent ",,"High level of visual appeal – seamless graphics – consistent and professionally designed ",,"Relevant/appropriate/coherent/correct ",,Comprehensive and concise; contains links to more information and resources,,Perfectly clear/logical/correct,,"There are many people I would recommend this app to ","3-10 ",Maybe,"★★★★ "
2024-04-17 01:05:05,2024-04-17 01:09:16,IP Address,91.230.41.206,100,250,True,2024-04-17 01:09:16,R_46h7DbhcbLR7YEE,,,,,24.4542,54.406,anonymous,EN,1101,"OK, neither interesting nor uninteresting; would engage user for a brief time (< 5 minutes) ",The vision was unclear and made me a bit dizzy,"Basic interactive features to function adequately ","Acceptable but not targeted. May be inappropriate/unclear/confusing ","I think the app might be interesting for learning sth not so academic, like driving or dance","App works overall. Some technical problems need fixing/Slow at times ",,"Easy to learn how to use the app (or has clear instructions) ",,"OK with some inconsistencies/confusing elements  ",,"Satisfactory, few problems with selecting/locating/seeing/reading items or with minor screen size problems ",,"Moderate quality graphics and visual design (generally consistent in style) ",,"Some visual appeal – average, neither pleasant nor unpleasant ",,"Moderately relevant/appropriate/coherent/and appears correct ",,"OK but not comprehensive or concise ",,"OK but often unclear/confusing/wrong ",,"There are very few people I would recommend this app to ","1-2 ",No,"★★★ Average "
2024-04-18 01:01:20,2024-04-18 01:06:28,IP Address,216.165.95.84,100,308,True,2024-04-18 01:06:29,R_1zOY3jOzjKIiHEn,,,,,40.7359,-73.9904,anonymous,EN,1116,"Very interesting, would engage user in repeat use",It got my attention because it was something new to me,Offers a variety of interactive features/feedback/user input options,"Well-targeted, with negligible issues ",,"Mostly functional with minor/negligible problems ",,"Useable after some time/effort  ",Yeah would be nice to have instructions,Perfectly consistent and intuitive,,"Professional, simple, clear, orderly, logically organized, device display optimized. Every design component has a purpose",,"High quality/resolution graphics and visual design – mostly proportionate, stylistically consistent  ",,"As above + very attractive, memorable, stands out; use of color enhances app features/menus",,"Highly relevant, appropriate, coherent, and correct",,Comprehensive and concise; contains links to more information and resources,,"Mostly clear/logical/correct with negligible issues ",Negligible issue being the resolution it’s a little blurry to read out the labels,"There are many people I would recommend this app to ",>50,Maybe,"★★★★ "
2024-04-18 06:58:35,2024-04-18 07:04:45,IP Address,91.230.41.206,100,370,True,2024-04-18 07:04:46,R_4qPy5VFitmydemJ,,,,,24.4542,54.406,anonymous,EN,1111,Moderately interesting; would engage user for some time (5-10 minutes total),The concept itself is engaging,Offers a variety of interactive features/feedback/user input options,"Well-targeted, with negligible issues ","No comments ",Perfect/timely response; no technical bugs found/contains a ‘loading time left’ indicator,No comments,Able to use app immediately; intuitive; simple,I have some previous experiences with VR so it was easy to grasp,Perfectly consistent and intuitive,No comments,"Mostly clear, able to select/locate/see/read items ",It was clear but the different diagrams could be arranged better,"Very high quality/resolution graphics and visual design - proportionate, stylistically consistent throughout","No comments ","High level of visual appeal – seamless graphics – consistent and professionally designed ",No comments,"Relevant/appropriate/coherent/correct ",No comments,"Offers a broad range of information, has some gaps or unnecessary detail; or has no links to more information and resources ",The diagrams were missing some of the parts in the paper ones,Perfectly clear/logical/correct,"No comments ","Maybe There are several people whom I would recommend it to ","3-10 ",Maybe,"★★★★ "
2024-04-18 08:13:50,2024-04-18 08:16:46,IP Address,91.230.41.207,100,176,True,2024-04-18 08:16:47,R_4FGLI2YPaXh10k1,,,,,24.4542,54.406,anonymous,EN,1105,Moderately interesting; would engage user for some time (5-10 minutes total),,Offers a variety of interactive features/feedback/user input options,"Perfectly targeted, no issues found",,"App works overall. Some technical problems need fixing/Slow at times ",,"Easy to learn how to use the app (or has clear instructions) ",,"Mostly consistent/intuitive with negligible problems ",,"Professional, simple, clear, orderly, logically organized, device display optimized. Every design component has a purpose",,"Very high quality/resolution graphics and visual design - proportionate, stylistically consistent throughout",,"As above + very attractive, memorable, stands out; use of color enhances app features/menus",,"Highly relevant, appropriate, coherent, and correct",,Comprehensive and concise; contains links to more information and resources,,Perfectly clear/logical/correct,,Definitely I would recommend this app to everyone,"10-50 ",Maybe,"★★★★ "
2024-04-18 08:43:15,2024-04-18 08:50:19,IP Address,91.230.41.207,100,424,True,2024-04-18 08:50:20,R_4YwYkg4DiHaRk5l,,,,,24.4542,54.406,anonymous,EN,1119,"Very interesting, would engage user in repeat use","The words were just sometimes hard to read having to move the diagram around a lot ","Basic interactive features to function adequately ","Acceptable but not targeted. May be inappropriate/unclear/confusing ","Sometimes got a bit messy, as well not really the best for people who wear glasses as myself creates strain on the eyes.","Mostly functional with minor/negligible problems ","Just grabbing some things got a bit difficult, aside from that it was alright ",Able to use app immediately; intuitive; simple,"Very easy to grasp the hand movements, liked the simplistic way","Mostly consistent/intuitive with negligible problems ","Not to big of an issue just sometimes hard to grab ","Mostly clear, able to select/locate/see/read items ",Hard to read the labels that was curved. Also there was not enough labels compared to the drawings.,"Moderate quality graphics and visual design (generally consistent in style) ","Just sometimes the visual usuage looked a bit weird or blurry if you zoom in to much ","High level of visual appeal – seamless graphics – consistent and professionally designed ",,"Moderately relevant/appropriate/coherent/and appears correct ","Just missing some or more so few labels very negliable ","Offers a broad range of information, has some gaps or unnecessary detail; or has no links to more information and resources ",,"Mostly clear/logical/correct with negligible issues ",,Definitely I would recommend this app to everyone,"3-10 ",No,"★★★★ "
